plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Rappi","2026-05-12T18:36:57.476Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","Mc Donald's - Plaza San Agustín ","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","30 min","3.2","09:00:00","20:45:00","true",
"Rappi","2026-05-12T18:37:54.787Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para Burger King"
"Rappi","2026-05-12T18:38:19.240Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","7 Eleven","Coca-Cola 600 ml","Ideal para compartir con tu familia o amigos. Siente el sabor original e inconfundible de Coca-Cola, para acompañar tus comidas favoritas de una forma deliciosa y refrescante.
","27.03",,"unknown","60","unknown","14 min o prog.",,"unknown","unknown","true",
"Rappi","2026-05-12T18:38:59.908Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","Mc Donald's - Plaza San Agustín ","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","37 min","3.2","09:00:00","20:45:00","true",
"Rappi","2026-05-12T18:39:58.326Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint restaurant-bus para Burger King"
"Rappi","2026-05-12T18:40:36.646Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T18:41:17.080Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","McDonald's Victoria","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Envío Gratis: Aplican TyC","15 min","3.9","12:00:00","20:45:00","true",
"Rappi","2026-05-12T18:41:31.602Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","Burger King Glorieta 14249 (HM)","Whopper","Que la parrilla te acompañe con nuestra clásica Whopper ahora con salsa Pesto, tocino, queso amarillo y vegetales frescos. Cambia a Papas La Fuerza por $30 y domina tu antojo.","199","229","-13%","0","Envío Gratis: Aplican TyC","12 min","0","10:00:00","21:30:00","true",
"Rappi","2026-05-12T18:42:16.049Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar endpoint dynamic context para 7 Eleven"
"Rappi","2026-05-12T18:43:07.424Z","Norte - Torreón","Blvd. Independencia 1300, Navarro, Torreón, Coahuila","Mc Donald's-Torreón 4 Caminos","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","10","unknown","13 min","4.1","11:00:00","21:00:00","true",
