plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Uber Eats","2026-05-12T19:24:48.558Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","McDonald's Hidalgo","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Costo de envío: MXN0 (usuarios nuevos)","10-10 min","4.2","12:00:00","22:45:00","true",
"Uber Eats","2026-05-12T19:25:03.947Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","Burger King (Plaza México)","Whopper","Disfruta de un Combo de Whopper con queso con papas y refresco y gratis un Pay de Manzana o 4 Nuggets de Pollo","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","10-10 min","4.1","11:00:00","19:55:00","true",
"Uber Eats","2026-05-12T19:25:18.359Z","Norte - Monterrey Centro","Av. Constitución 201, Centro, Monterrey, Nuevo León","7 Eleven 🛒(NUEVA MIGUEL HIDALGO)","Coca-Cola 600 ml","Coca-Cola · Refresco original (600 ml)","25",,"unknown","0","Para ahorrar dinero en la entrega, puedes obtener una membresía Uber One, si está disponible en tu área, ya que una de las ventajas es que ofrece entrega a $0 por costo de envío en pedidos seleccionados.","10-10 min","5","07:00:00","02:00:00","true",
"Uber Eats","2026-05-12T19:26:02.540Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","McDonald's Gomez Morin","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","145",,"unknown","0","Costo de envío: MXN0 (usuarios nuevos)","14-14 min","4.3","12:00:00","23:45:00","true",
"Uber Eats","2026-05-12T19:26:24.456Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","Burger King (Plaza México)","Whopper","Disfruta de un Combo de Whopper con queso con papas y refresco y gratis un Pay de Manzana o 4 Nuggets de Pollo","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","28-28 min","4.1","11:00:00","19:55:00","true",
"Uber Eats","2026-05-12T19:26:44.225Z","Norte - San Pedro","Av. Vasconcelos 150, Del Valle, San Pedro Garza García, Nuevo León","7 Eleven 🛒(JERÓNIMO SILLER)","Coca-Cola 600 ml","Coca-Cola · Refresco light (600 ml)","26",,"unknown","0","Para ahorrar dinero en la entrega, puedes obtener una membresía Uber One, si está disponible en tu área, ya que una de las ventajas es que ofrece entrega a $0 por costo de envío en pedidos seleccionados.","10-10 min","4.9","07:00:00","02:00:00","true",
"Uber Eats","2026-05-12T19:27:30.367Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","McDonald's (Victoria)","Big Mac","Hamburguesa con 2 carnes de res, con salsa especial de Big Mac y queso derretido","125",,"unknown","0","Costo de envío: $0","11-11 min","4.5","12:00:00","20:45:00","true",
"Uber Eats","2026-05-12T19:27:51.374Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:28:14.406Z","Norte - Chihuahua","Av. Universidad 1700, Santo Niño, Chihuahua, Chihuahua","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:29:10.091Z","Norte - Torreón","Blvd. Independencia 1300, Navarro, Torreón, Coahuila","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:29:43.708Z","Norte - Torreón","Blvd. Independencia 1300, Navarro, Torreón, Coahuila","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
